Variable;Outcome;TestSeed;TrainSeed;BioAct;Encoding;Variable_type;Weight;Converged;N;Beta;SE;Beta_pvalue;LRT_pvalue;Diff_AIC;pvalue;odds ratio
SNP1;Outcome;2000;0;Additive;Recessive;continuous;None;True;1000;-19.47012646159462;12537.264797581096;0.9987609014161365;;;0.9987609014161365;3.5013176719723032e-09
SNP2;Outcome;2000;0;Additive;Recessive;continuous;None;True;1000;-19.468790456035414;17730.36991152675;0.9991238849342489;;;0.9991238849342489;3.5059985780086e-09
SNP2;Outcome;2000;0;Additive;Dominant;continuous;None;True;1000;-0.5394073302061604;0.2931122299590841;0.0657277630374333;;;0.0657277630374333;0.5830937320281495
SNP1;Outcome;2000;0;Additive;Dominant;continuous;None;True;1000;0.3340123282819334;0.2576704026260988;0.19487992021950096;;;0.19487992021950096;1.3965603606582397
SNP2;Outcome;2000;0;Additive;Codominant;categorical;None;True;1000;;;;0.12817830340604852;-0.10866597804147204;0.12817830340604852;
SNP1;Outcome;2000;0;Additive;Codominant;categorical;None;True;1000;;;;0.20835894530104573;0.8630140239499724;0.20835894530104573;
SNP2;Outcome;2000;0;Additive;EDGE;continuous;None;True;1000;-22.673783895977888;12.653285188017259;0.07314440038915468;;;0.07314440038915468;1.4220038430761146e-10
SNP2;Outcome;2000;0;Super_Additive;Additive;continuous;None;True;1000;-0.5433768783877755;0.29055892725684174;0.06146867649151381;;;0.06146867649151381;0.5807837012869524
SNP1;Outcome;2000;0;Super_Additive;Additive;continuous;None;True;1000;0.25297537393197167;0.24509942316487032;0.302009489730117;;;0.302009489730117;1.2878515617239534
SNP1;Outcome;2000;0;Super_Additive;DOMDEV;continuous;None;True;1000;10.612190984296387;8438.67900004548;0.9989966082237732;;;0.9989966082237732;40627.115182051784
SNP2;Outcome;2000;0;Super_Additive;DOMDEV;continuous;None;True;1000;9.228928098795885;8865.184160149909;0.9991693778967569;;;0.9991693778967569;10187.615539606619
SNP1;Outcome;2000;0;Super_Additive;Recessive;continuous;None;True;1000;-20.47146425558835;16877.355947337106;0.9990322025966445;;;0.9990322025966445;1.2863407779713374e-09
SNP2;Outcome;2000;0;Super_Additive;Recessive;continuous;None;True;1000;-19.468790456035414;17730.36991152675;0.9991238849342489;;;0.9991238849342489;3.5059985780086e-09
SNP2;Outcome;2000;0;Super_Additive;Dominant;continuous;None;True;1000;-0.5394073302061604;0.2931122299590841;0.0657277630374333;;;0.0657277630374333;0.5830937320281495
SNP1;Outcome;2000;0;Super_Additive;Dominant;continuous;None;True;1000;0.3340123282819334;0.2576704026260988;0.19487992021950096;;;0.19487992021950096;1.3965603606582397
SNP2;Outcome;2000;0;Super_Additive;Codominant;categorical;None;True;1000;;;;0.12817830340604852;-0.10866597804147204;0.12817830340604852;
SNP1;Outcome;2000;0;Super_Additive;Codominant;categorical;None;True;1000;;;;0.14123535303561358;0.08534478068918361;0.14123535303561358;
SNP2;Outcome;2000;0;Super_Additive;EDGE;continuous;None;True;1000;-22.673783895977888;12.653285188017259;0.07314440038915468;;;0.07314440038915468;1.4220038430761146e-10
SNP1;Outcome;2000;0;Super_Additive;EDGE;continuous;None;True;1000;-1.3463467461145697;2.043777205333444;0.5100536447017536;;;0.5100536447017536;0.26018906318839635
SNP2;Outcome;2000;0;Dominant;Additive;continuous;None;True;1000;-0.5433768783877755;0.29055892725684174;0.06146867649151381;;;0.06146867649151381;0.5807837012869524
SNP1;Outcome;2000;0;Dominant;Additive;continuous;None;True;1000;0.20962021496097938;0.24839330388858438;0.3987228002935068;;;0.3987228002935068;1.2332096164461528
SNP1;Outcome;2000;0;Dominant;DOMDEV;continuous;None;True;1000;10.567423482334345;8438.675489548712;0.9990008406116827;;;0.9990008406116827;38848.45094690597
SNP2;Outcome;2000;0;Dominant;DOMDEV;continuous;None;True;1000;9.228928098795885;8865.184160149909;0.9991693778967569;;;0.9991693778967569;10187.615539606619
SNP1;Outcome;2000;0;Dominant;Recessive;continuous;None;True;1000;-20.47146425558835;16877.355947337106;0.9990322025966445;;;0.9990322025966445;1.2863407779713374e-09
SNP2;Outcome;2000;0;Dominant;Recessive;continuous;None;True;1000;-19.468790456035414;17730.36991152675;0.9991238849342489;;;0.9991238849342489;3.5059985780086e-09
SNP2;Outcome;2000;0;Dominant;Dominant;continuous;None;True;1000;-0.5394073302061604;0.2931122299590841;0.0657277630374333;;;0.0657277630374333;0.5830937320281495
SNP1;Outcome;2000;0;Dominant;Dominant;continuous;None;True;1000;0.28703769565434656;0.26112473118774465;0.271665155528271;;;0.271665155528271;1.3324744410249443
SNP2;Outcome;2000;0;Dominant;Codominant;categorical;None;True;1000;;;;0.12817830340604852;-0.10866597804147204;0.12817830340604852;
SNP1;Outcome;2000;0;Dominant;Codominant;categorical;None;True;1000;;;;0.18410413637462925;0.6154925541809462;0.18410413637462925;
SNP2;Outcome;2000;0;Dominant;EDGE;continuous;None;True;1000;-22.673783895977888;12.653285188017259;0.07314440038915468;;;0.07314440038915468;1.4220038430761146e-10
SNP1;Outcome;2000;0;Dominant;EDGE;continuous;None;True;1000;-1.4960567291515112;2.170151402089294;0.49058481665222975;;;0.49058481665222975;0.22401175985521285
SNP2;Outcome;2000;0;Heterozygous;Additive;continuous;None;True;1000;-0.5433768783877755;0.29055892725684174;0.06146867649151381;;;0.06146867649151381;0.5807837012869524
SNP1;Outcome;2000;0;Heterozygous;Additive;continuous;None;True;1000;0.20962021496097938;0.24839330388858438;0.3987228002935068;;;0.3987228002935068;1.2332096164461528
SNP1;Outcome;2000;0;Heterozygous;DOMDEV;continuous;None;True;1000;10.567423482334345;8438.675489548712;0.9990008406116827;;;0.9990008406116827;38848.45094690597
SNP2;Outcome;2000;0;Heterozygous;DOMDEV;continuous;None;True;1000;9.228928098795885;8865.184160149909;0.9991693778967569;;;0.9991693778967569;10187.615539606619
SNP1;Outcome;2000;0;Heterozygous;Recessive;continuous;None;True;1000;-20.47146425558835;16877.355947337106;0.9990322025966445;;;0.9990322025966445;1.2863407779713374e-09
SNP2;Outcome;2000;0;Heterozygous;Recessive;continuous;None;True;1000;-19.468790456035414;17730.36991152675;0.9991238849342489;;;0.9991238849342489;3.5059985780086e-09
SNP2;Outcome;2000;0;Heterozygous;Dominant;continuous;None;True;1000;-0.5394073302061604;0.2931122299590841;0.0657277630374333;;;0.0657277630374333;0.5830937320281495
SNP1;Outcome;2000;0;Heterozygous;Dominant;continuous;None;True;1000;0.28703769565434656;0.26112473118774465;0.271665155528271;;;0.271665155528271;1.3324744410249443
SNP2;Outcome;2000;0;Heterozygous;Codominant;categorical;None;True;1000;;;;0.12817830340604852;-0.10866597804147204;0.12817830340604852;
SNP1;Outcome;2000;0;Heterozygous;Codominant;categorical;None;True;1000;;;;0.18410413637462925;0.6154925541809462;0.18410413637462925;
SNP2;Outcome;2000;0;Heterozygous;EDGE;continuous;None;True;1000;-22.673783895977888;12.653285188017259;0.07314440038915468;;;0.07314440038915468;1.4220038430761146e-10
SNP1;Outcome;2000;0;Heterozygous;EDGE;continuous;None;True;1000;-1.4771172971648725;2.15102411884485;0.4922691496159003;;;0.4922691496159003;0.2282948469348268
