ID,ABBREVIATION,DATABASE,CATEGORY,DATASET,SOURCE_PATH,DESTINATION_PATH,FILE_FORMAT,FILE_NAME,VERSION,UPD_FILE,SIZE,LAST_UPDATE
20,HMDB,Human Metabolome Database,Spectra,GC-MS Spectra Files (XML) - Experimental,http://specdb.wishartlab.com/downloads/exports/spectra_xml/hmdb_experimental_cms_spectra.zip,defaut,XML,hmdb_experimental_cms_spectra.zip,5,0,,
21,HMDB,Human Metabolome Database,Spectra,MS-MS Spectra Files (XML) - Predicted,http://specdb.wishartlab.com/downloads/exports/spectra_xml/hmdb_predicted_msms_spectra.zip,defaut,XML,hmdb_predicted_msms_spectra.zip,5,0,,
22,HMDB,Human Metabolome Database,Spectra,MS-MS Spectra Files (XML) - Experimental,http://specdb.wishartlab.com/downloads/exports/spectra_xml/hmdb_experimental_msms_spectra.zip,defaut,XML,hmdb_experimental_msms_spectra.zip,5,0,,
23,HMDB,Human Metabolome Database,Spectra,All Spectra Files (XML),http://specdb.wishartlab.com/downloads/exports/spectra_xml/hmdb_all_spectra.zip,defaut,XML,hmdb_all_spectra.zip,5,0,,
24,CTD,Comparative Toxicogenomics Database,Chemical–gene interactions,Chemical–gene interactions,http://ctdbase.org/reports/CTD_chem_gene_ixns.csv.gz,defaut,CSV,CTD_chem_gene_ixns.csv.gz,,0,,
25,CTD,Comparative Toxicogenomics Database,Chemical–gene interactions,Chemical–gene interactions,http://ctdbase.org/reports/CTD_chem_gene_ixns.tsv.gz,defaut,TSV,CTD_chem_gene_ixns.tsv.gz,,0,,
26,CTD,Comparative Toxicogenomics Database,Chemical–gene interactions,Chemical–gene interactions,http://ctdbase.org/reports/CTD_chem_gene_ixns.xml.gz,defaut,XML,CTD_chem_gene_ixns.xml.gz,,0,,
27,CTD,Comparative Toxicogenomics Database,Chemical–gene interactions,Chemical–gene interactions,http://ctdbase.org/reports/CTD_chem_gene_ixns_structured.xml.gz,defaut,XML (Structured),CTD_chem_gene_ixns_structured.xml.gz,,0,,
28,CTD,Comparative Toxicogenomics Database,Chemical–gene interactions,Chemical–gene interactions,http://ctdbase.org/reports/CTD_chem_gene_ixns_structured.xsd,defaut,XSD (Structured),CTD_chem_gene_ixns_structured.xsd,,0,,
29,CTD,Comparative Toxicogenomics Database,Chemical–gene interaction types,Chemical–gene interaction types,http://ctdbase.org/reports/CTD_chem_gene_ixn_types.csv,defaut,CSV,CTD_chem_gene_ixn_types.csv,,1,,
30,CTD,Comparative Toxicogenomics Database,Chemical–gene interaction types,Chemical–gene interaction types,http://ctdbase.org/reports/CTD_chem_gene_ixn_types.obo,defaut,OBO,CTD_chem_gene_ixn_types.obo,,1,,
31,CTD,Comparative Toxicogenomics Database,Chemical–gene interaction types,Chemical–gene interaction types,http://ctdbase.org/reports/CTD_chem_gene_ixn_types.tsv,defaut,TSV,CTD_chem_gene_ixn_types.tsv,,1,,
32,CTD,Comparative Toxicogenomics Database,Chemical–gene interaction types,Chemical–gene interaction types,http://ctdbase.org/reports/CTD_chem_gene_ixn_types.xml,defaut,XML,CTD_chem_gene_ixn_types.xml,,1,,
33,CTD,Comparative Toxicogenomics Database,Chemical–disease associations,Chemical–disease associations,http://ctdbase.org/reports/CTD_chemicals_diseases.csv.gz,defaut,CSV,CTD_chemicals_diseases.csv.gz,,0,,
34,CTD,Comparative Toxicogenomics Database,Chemical–disease associations,Chemical–disease associations,http://ctdbase.org/reports/CTD_chemicals_diseases.tsv.gz,defaut,TSV,CTD_chemicals_diseases.tsv.gz,,0,,
35,CTD,Comparative Toxicogenomics Database,Chemical–disease associations,Chemical–disease associations,http://ctdbase.org/reports/CTD_chemicals_diseases.xml.gz,defaut,XML,CTD_chemicals_diseases.xml.gz,,0,,
36,CTD,Comparative Toxicogenomics Database,Chemical–GO enriched associations,Chemical–GO enriched associations,http://ctdbase.org/reports/CTD_chem_go_enriched.csv.gz,defaut,CSV,CTD_chem_go_enriched.csv.gz,,0,,
37,CTD,Comparative Toxicogenomics Database,Chemical–GO enriched associations,Chemical–GO enriched associations,http://ctdbase.org/reports/CTD_chem_go_enriched.tsv.gz,defaut,TSV,CTD_chem_go_enriched.tsv.gz,,0,,
38,CTD,Comparative Toxicogenomics Database,Chemical–GO enriched associations,Chemical–GO enriched associations,http://ctdbase.org/reports/CTD_chem_go_enriched.xml.gz,defaut,XML,CTD_chem_go_enriched.xml.gz,,0,,
39,CTD,Comparative Toxicogenomics Database,Chemical–pathway enriched associations,Chemical–pathway enriched associations,http://ctdbase.org/reports/CTD_chem_pathways_enriched.csv.gz,defaut,CSV,CTD_chem_pathways_enriched.csv.gz,,0,,
40,CTD,Comparative Toxicogenomics Database,Chemical–pathway enriched associations,Chemical–pathway enriched associations,http://ctdbase.org/reports/CTD_chem_pathways_enriched.tsv.gz,defaut,TSV,CTD_chem_pathways_enriched.tsv.gz,,0,,
41,CTD,Comparative Toxicogenomics Database,Chemical–pathway enriched associations,Chemical–pathway enriched associations,http://ctdbase.org/reports/CTD_chem_pathways_enriched.xml.gz,defaut,XML,CTD_chem_pathways_enriched.xml.gz,,0,,
42,CTD,Comparative Toxicogenomics Database,Gene–disease associations,Gene–disease associations,http://ctdbase.org/reports/CTD_genes_diseases.csv.gz,defaut,CSV,CTD_genes_diseases.csv.gz,,0,,
43,CTD,Comparative Toxicogenomics Database,Gene–disease associations,Gene–disease associations,http://ctdbase.org/reports/CTD_genes_diseases.tsv.gz,defaut,TSV,CTD_genes_diseases.tsv.gz,,0,,
44,CTD,Comparative Toxicogenomics Database,Gene–disease associations,Gene–disease associations,http://ctdbase.org/reports/CTD_genes_diseases.xml.gz,defaut,XML,CTD_genes_diseases.xml.gz,,0,,
45,CTD,Comparative Toxicogenomics Database,Gene–pathway associations,Gene–pathway associations,http://ctdbase.org/reports/CTD_genes_pathways.csv.gz,defaut,CSV,CTD_genes_pathways.csv.gz,,0,,
46,CTD,Comparative Toxicogenomics Database,Gene–pathway associations,Gene–pathway associations,http://ctdbase.org/reports/CTD_genes_pathways.tsv.gz,defaut,TSV,CTD_genes_pathways.tsv.gz,,0,,
47,CTD,Comparative Toxicogenomics Database,Gene–pathway associations,Gene–pathway associations,http://ctdbase.org/reports/CTD_genes_pathways.xml.gz,defaut,XML,CTD_genes_pathways.xml.gz,,0,,
48,CTD,Comparative Toxicogenomics Database,Disease–pathway associations,Disease–pathway associations,http://ctdbase.org/reports/CTD_diseases_pathways.csv.gz,defaut,CSV,CTD_diseases_pathways.csv.gz,,0,,
49,CTD,Comparative Toxicogenomics Database,Disease–pathway associations,Disease–pathway associations,http://ctdbase.org/reports/CTD_diseases_pathways.tsv.gz,defaut,TSV,CTD_diseases_pathways.tsv.gz,,0,,
50,CTD,Comparative Toxicogenomics Database,Disease–pathway associations,Disease–pathway associations,http://ctdbase.org/reports/CTD_diseases_pathways.xml.gz,defaut,XML,CTD_diseases_pathways.xml.gz,,0,,
51,CTD,Comparative Toxicogenomics Database,Chemical–phenotype interactions,Chemical–phenotype interactions,http://ctdbase.org/reports/CTD_pheno_term_ixns.csv.gz,defaut,CSV,CTD_pheno_term_ixns.csv.gz,,0,,
52,CTD,Comparative Toxicogenomics Database,Chemical–phenotype interactions,Chemical–phenotype interactions,http://ctdbase.org/reports/CTD_pheno_term_ixns.tsv.gz,defaut,TSV,CTD_pheno_term_ixns.tsv.gz,,0,,
53,CTD,Comparative Toxicogenomics Database,Chemical–phenotype interactions,Chemical–phenotype interactions,http://ctdbase.org/reports/CTD_pheno_term_ixns.xml.gz,defaut,XML,CTD_pheno_term_ixns.xml.gz,,0,,
54,CTD,Comparative Toxicogenomics Database,Exposure–study associations,Exposure–study associations,http://ctdbase.org/reports/CTD_exposure_studies.csv.gz,defaut,CSV,CTD_exposure_studies.csv.gz,,0,,
55,CTD,Comparative Toxicogenomics Database,Exposure–study associations,Exposure–study associations,http://ctdbase.org/reports/CTD_exposure_studies.tsv.gz,defaut,TSV,CTD_exposure_studies.tsv.gz,,0,,
56,CTD,Comparative Toxicogenomics Database,Exposure–study associations,Exposure–study associations,http://ctdbase.org/reports/CTD_exposure_studies.xml.gz,defaut,XML,CTD_exposure_studies.xml.gz,,0,,
57,CTD,Comparative Toxicogenomics Database,Exposure–event associations,Exposure–event associations,http://ctdbase.org/reports/CTD_exposure_events.csv.gz,defaut,CSV,CTD_exposure_events.csv.gz,,0,,
58,CTD,Comparative Toxicogenomics Database,Exposure–event associations,Exposure–event associations,http://ctdbase.org/reports/CTD_exposure_events.tsv.gz,defaut,TSV,CTD_exposure_events.tsv.gz,,0,,
59,CTD,Comparative Toxicogenomics Database,Exposure–event associations,Exposure–event associations,http://ctdbase.org/reports/CTD_exposure_events.xml.gz,defaut,XML,CTD_exposure_events.xml.gz,,0,,
60,CTD,Comparative Toxicogenomics Database,Phenotype (GO)–Disease Inference Networks,Phenotype (GO)–Disease Biological Process Associations,http://ctdbase.org/reports/CTD_Phenotype-Disease_biological_process_associations.csv.gz,defaut,CSV,CTD_Phenotype-Disease_biological_process_associations.csv.gz,,0,,
61,CTD,Comparative Toxicogenomics Database,Phenotype (GO)–Disease Inference Networks,Phenotype (GO)–Disease Biological Process Associations,http://ctdbase.org/reports/CTD_Phenotype-Disease_biological_process_associations.tsv.gz,defaut,TSV,CTD_Phenotype-Disease_biological_process_associations.tsv.gz,,0,,
62,CTD,Comparative Toxicogenomics Database,Phenotype (GO)–Disease Inference Networks,Phenotype (GO)–Disease Biological Process Associations,http://ctdbase.org/reports/CTD_Phenotype-Disease_biological_process_associations.xml.gz,defaut,XML,CTD_Phenotype-Disease_biological_process_associations.xml.gz,,0,,
63,CTD,Comparative Toxicogenomics Database,Phenotype (GO)–Disease Inference Networks,Phenotype (GO)–Disease Cellular Component Associations,http://ctdbase.org/reports/CTD_Phenotype-Disease_cellular_component_associations.csv.gz,defaut,CSV,CTD_Phenotype-Disease_cellular_component_associations.csv.gz,,0,,
64,CTD,Comparative Toxicogenomics Database,Phenotype (GO)–Disease Inference Networks,Phenotype (GO)–Disease Cellular Component Associations,http://ctdbase.org/reports/CTD_Phenotype-Disease_cellular_component_associations.tsv.gz,defaut,TSV,CTD_Phenotype-Disease_cellular_component_associations.tsv.gz,,0,,
65,CTD,Comparative Toxicogenomics Database,Phenotype (GO)–Disease Inference Networks,Phenotype (GO)–Disease Cellular Component Associations,http://ctdbase.org/reports/CTD_Phenotype-Disease_cellular_component_associations.xml.gz,defaut,XML,CTD_Phenotype-Disease_cellular_component_associations.xml.gz,,0,,
66,CTD,Comparative Toxicogenomics Database,Phenotype (GO)–Disease Inference Networks,Phenotype (GO)–Disease Molecular Function Associations,http://ctdbase.org/reports/CTD_Phenotype-Disease_molecular_function_associations.csv.gz,defaut,CSV,CTD_Phenotype-Disease_molecular_function_associations.csv.gz,,0,,
67,CTD,Comparative Toxicogenomics Database,Phenotype (GO)–Disease Inference Networks,Phenotype (GO)–Disease Molecular Function Associations,http://ctdbase.org/reports/CTD_Phenotype-Disease_molecular_function_associations.tsv.gz,defaut,TSV,CTD_Phenotype-Disease_molecular_function_associations.tsv.gz,,0,,
68,CTD,Comparative Toxicogenomics Database,Phenotype (GO)–Disease Inference Networks,Phenotype (GO)–Disease Molecular Function Associations,http://ctdbase.org/reports/CTD_Phenotype-Disease_molecular_function_associations.xml.gz,defaut,XML,CTD_Phenotype-Disease_molecular_function_associations.xml.gz,,0,,
69,CTD,Comparative Toxicogenomics Database,Chemical vocabulary,Chemical vocabulary,http://ctdbase.org/reports/CTD_chemicals.csv.gz,defaut,CSV,CTD_chemicals.csv.gz,,0,,
70,CTD,Comparative Toxicogenomics Database,Chemical vocabulary,Chemical vocabulary,http://ctdbase.org/reports/CTD_chemicals.tsv.gz,defaut,TSV,CTD_chemicals.tsv.gz,,0,,
71,CTD,Comparative Toxicogenomics Database,Chemical vocabulary,Chemical vocabulary,http://ctdbase.org/reports/CTD_chemicals.xml.gz,defaut,XML,CTD_chemicals.xml.gz,,0,,
72,CTD,Comparative Toxicogenomics Database,Disease vocabulary (MEDIC),Disease vocabulary (MEDIC),http://ctdbase.org/reports/CTD_diseases.csv.gz,defaut,CSV,CTD_diseases.csv.gz,,0,,
73,CTD,Comparative Toxicogenomics Database,Disease vocabulary (MEDIC),Disease vocabulary (MEDIC),http://ctdbase.org/reports/CTD_diseases.obo.gz,defaut,OBO,CTD_diseases.obo.gz,,0,,
74,CTD,Comparative Toxicogenomics Database,Disease vocabulary (MEDIC),Disease vocabulary (MEDIC),http://ctdbase.org/reports/CTD_diseases.tsv.gz,defaut,TSV,CTD_diseases.tsv.gz,,0,,
75,CTD,Comparative Toxicogenomics Database,Disease vocabulary (MEDIC),Disease vocabulary (MEDIC),http://ctdbase.org/reports/CTD_diseases.xml.gz,defaut,XML,CTD_diseases.xml.gz,,0,,
76,CTD,Comparative Toxicogenomics Database,Anatomy vocabulary,Anatomy vocabulary,http://ctdbase.org/reports/CTD_anatomy.csv.gz,defaut,CSV,CTD_anatomy.csv.gz,,0,,
77,CTD,Comparative Toxicogenomics Database,Anatomy vocabulary,Anatomy vocabulary,http://ctdbase.org/reports/CTD_anatomy.tsv.gz,defaut,TSV,CTD_anatomy.tsv.gz,,0,,
78,CTD,Comparative Toxicogenomics Database,Anatomy vocabulary,Anatomy vocabulary,http://ctdbase.org/reports/CTD_anatomy.xml.gz,defaut,XML,CTD_anatomy.xml.gz,,0,,
79,CTD,Comparative Toxicogenomics Database,Gene vocabulary,Gene vocabulary,http://ctdbase.org/reports/CTD_genes.csv.gz,defaut,CSV,CTD_genes.csv.gz,,0,,
80,CTD,Comparative Toxicogenomics Database,Gene vocabulary,Gene vocabulary,http://ctdbase.org/reports/CTD_genes.tsv.gz,defaut,TSV,CTD_genes.tsv.gz,,0,,
81,CTD,Comparative Toxicogenomics Database,Gene vocabulary,Gene vocabulary,http://ctdbase.org/reports/CTD_genes.xml.gz,defaut,XML,CTD_genes.xml.gz,,0,,
82,CTD,Comparative Toxicogenomics Database,Pathway vocabulary,Pathway vocabulary,http://ctdbase.org/reports/CTD_pathways.csv.gz,defaut,CSV,CTD_pathways.csv.gz,,0,,
83,CTD,Comparative Toxicogenomics Database,Pathway vocabulary,Pathway vocabulary,http://ctdbase.org/reports/CTD_pathways.tsv.gz,defaut,TSV,CTD_pathways.tsv.gz,,0,,
84,CTD,Comparative Toxicogenomics Database,Pathway vocabulary,Pathway vocabulary,http://ctdbase.org/reports/CTD_pathways.xml.gz,defaut,XML,CTD_pathways.xml.gz,,0,,
85,CTD,Comparative Toxicogenomics Database,Exposure Ontology (ExO),Exposure Ontology (ExO),http://ctdbase.org/reports/CTD_exposure_ontology.obo,defaut,OBO,CTD_exposure_ontology.obo,,0,,
86,DigChem,DigChem,,,https://sites.google.com/view/digchem/home?authuser=0,defaut,,home?authuser=0,,0,,
87,DigSee,DigSee,,,,defaut,,,,0,,
88,BioSNAP,BioSNAP Datasets: Stanford Biomedical Network Dataset Collection,"Networks and relationships/cell, cell",CC-Neuron/Megascale cell-cell similarity network,http://snap.stanford.edu/biodata/datasets/10023/files/CC-Neuron_cci.tsv.gz,defaut,TSV,CC-Neuron_cci.tsv.gz,,0,,
89,BioSNAP,BioSNAP Datasets: Stanford Biomedical Network Dataset Collection,"Networks and relationships/drug, drug",ChCh-Miner/Drug-drug interaction network,http://snap.stanford.edu/biodata/datasets/10001/files/ChCh-Miner_durgbank-chem-chem.tsv.gz,defaut,TSV,ChCh-Miner_durgbank-chem-chem.tsv.gz,,1,,
90,BioSNAP,BioSNAP Datasets: Stanford Biomedical Network Dataset Collection,"Networks and relationships/drug, drug, side-effect",ChChSe-Decagon/Poypharmacy side-effect association network,http://snap.stanford.edu/biodata/datasets/10017/files/ChChSe-Decagon_polypharmacy.csv.gz,defaut,CSV,ChChSe-Decagon_polypharmacy.csv.gz,,0,,
91,BioSNAP,BioSNAP Datasets: Stanford Biomedical Network Dataset Collection,"Networks and relationships/drug, gene",ChG-InterDecagon/Chemical-gene interaction network,http://snap.stanford.edu/biodata/datasets/10016/files/ChG-InterDecagon_targets.csv.gz,defaut,CSV,ChG-InterDecagon_targets.csv.gz,,0,,
92,BioSNAP,BioSNAP Datasets: Stanford Biomedical Network Dataset Collection,"Networks and relationships/drug, gene",ChG-Miner/Drug-target interaction network,http://snap.stanford.edu/biodata/datasets/10002/files/ChG-Miner_miner-chem-gene.tsv.gz,defaut,TSV,ChG-Miner_miner-chem-gene.tsv.gz,,0,,
93,BioSNAP,BioSNAP Datasets: Stanford Biomedical Network Dataset Collection,"Networks and relationships/drug, gene",ChG-TargetDecagon/Drug-target interaction network,http://snap.stanford.edu/biodata/datasets/10015/files/ChG-TargetDecagon_targets.csv.gz,defaut,CSV,ChG-TargetDecagon_targets.csv.gz,,0,,
94,BioSNAP,BioSNAP Datasets: Stanford Biomedical Network Dataset Collection,"Networks and relationships/drug, side-effect",ChSe-Decagon/Drug side-effect association network,http://snap.stanford.edu/biodata/datasets/10018/files/ChSe-Decagon_monopharmacy.csv.gz,defaut,CSV,ChSe-Decagon_monopharmacy.csv.gz,,0,,
95,BioSNAP,BioSNAP Datasets: Stanford Biomedical Network Dataset Collection,"Networks and relationships/disease, drug",DCh-Miner/Disease-drug association network,http://snap.stanford.edu/biodata/datasets/10004/files/DCh-Miner_miner-disease-chemical.tsv.gz,defaut,TSV,DCh-Miner_miner-disease-chemical.tsv.gz,,0,,
96,BioSNAP,BioSNAP Datasets: Stanford Biomedical Network Dataset Collection,"Networks and relationships/disease, disease",DD-Miner/Disease-disease network,http://snap.stanford.edu/biodata/datasets/10006/files/DD-Miner_miner-disease-disease.tsv.gz,defaut,TSV,DD-Miner_miner-disease-disease.tsv.gz,,0,,
97,BioSNAP,BioSNAP Datasets: Stanford Biomedical Network Dataset Collection,"Networks and relationships/disease, function",DF-Miner/Disease-function association network,http://snap.stanford.edu/biodata/datasets/10019/files/DF-Miner_miner-disease-function.tsv.gz,defaut,TSV,DF-Miner_miner-disease-function.tsv.gz,,0,,
98,BioSNAP,BioSNAP Datasets: Stanford Biomedical Network Dataset Collection,"Networks and relationships/disease, gene",DG-AssocMiner/Disease-gene association network,http://snap.stanford.edu/biodata/datasets/10012/files/DG-AssocMiner_miner-disease-gene.tsv.gz,defaut,TSV,DG-AssocMiner_miner-disease-gene.tsv.gz,,0,,
99,BioSNAP,BioSNAP Datasets: Stanford Biomedical Network Dataset Collection,"Networks and relationships/disease, gene",DG-Miner/Disease-gene association network,http://snap.stanford.edu/biodata/datasets/10020/files/DG-Miner_miner-disease-gene.tsv.gz,defaut,TSV,DG-Miner_miner-disease-gene.tsv.gz,,0,,
100,BioSNAP,BioSNAP Datasets: Stanford Biomedical Network Dataset Collection,"Networks and relationships/function, function",FF-Miner/Classification of cellular functions into a hierarchy,http://snap.stanford.edu/biodata/datasets/10026/files/FF-Miner_miner-func-func.tsv.gz,defaut,TSV,FF-Miner_miner-func-func.tsv.gz,,0,,
101,BioSNAP,BioSNAP Datasets: Stanford Biomedical Network Dataset Collection,"Networks and relationships/gene, function",GF-Miner/Gene-function association network,http://snap.stanford.edu/biodata/datasets/10024/files/GF-Miner_miner-gene-function.tsv.gz,defaut,TSV,GF-Miner_miner-gene-function.tsv.gz,,0,,
102,BioSNAP,BioSNAP Datasets: Stanford Biomedical Network Dataset Collection,"Networks and relationships/gene, gene",GG-EnhancedTissue/Enhanced tissue-specific gene interaction networks,http://snap.stanford.edu/biodata/datasets/10032/files/GG-NE.tar.gz,defaut,tar.gz,GG-NE.tar.gz,,0,,
103,BioSNAP,BioSNAP Datasets: Stanford Biomedical Network Dataset Collection,"Networks and relationships/gene, protein",GP-Miner/Protein-coding genes,http://snap.stanford.edu/biodata/datasets/10027/files/GP-Miner_miner-gene-protein.tsv.gz,defaut,TSV,GP-Miner_miner-gene-protein.tsv.gz,,1,,
104,BioSNAP,BioSNAP Datasets: Stanford Biomedical Network Dataset Collection,"Networks and relationships/genomic-region, genomic-region",GrGr-EnhancedHiC1K/Enhanced Hi-C interaction network,http://snap.stanford.edu/biodata/datasets/10030/files/GrGr-NE1K.tar.gz,defaut,tar.gz,GrGr-NE1K.tar.gz,,0,,
105,BioSNAP,BioSNAP Datasets: Stanford Biomedical Network Dataset Collection,"Networks and relationships/genomic-region, genomic-region",GrGr-EnhancedHiC5K/Enhanced Hi-C interaction network,http://snap.stanford.edu/biodata/datasets/10031/files/GrGr-NE5K.tar.gz,defaut,tar.gz,GrGr-NE5K.tar.gz,,0,,
106,BioSNAP,BioSNAP Datasets: Stanford Biomedical Network Dataset Collection,"Networks and relationships/protein, protein",PP-Decagon/Human protein-protein association network,http://snap.stanford.edu/biodata/datasets/10008/files/PP-Decagon_ppi.csv.gz,defaut,CSV,PP-Decagon_ppi.csv.gz,,0,,
107,BioSNAP,BioSNAP Datasets: Stanford Biomedical Network Dataset Collection,"Networks and relationships/protein, protein",PP-Miner/Species-specific protein-protein association networks,http://snap.stanford.edu/biodata/datasets/10028/files/PP-Miner_miner-ppi.tsv.gz,defaut,TSV,PP-Miner_miner-ppi.tsv.gz,,0,,
108,BioSNAP,BioSNAP Datasets: Stanford Biomedical Network Dataset Collection,"Networks and relationships/protein, protein",PP-Pathways/Human protein-protein interaction network,http://snap.stanford.edu/biodata/datasets/10000/files/PP-Pathways_ppi.csv.gz,defaut,CSV,PP-Pathways_ppi.csv.gz,,0,,
109,BioSNAP,BioSNAP Datasets: Stanford Biomedical Network Dataset Collection,"Networks and relationships/protein, protein, tissue",PPT-Ohmnet/Tissue-specific protein-protein interaction network,http://snap.stanford.edu/biodata/datasets/10013/files/PPT-Ohmnet_tissues-combined.edgelist.gz,defaut,edgelist,PPT-Ohmnet_tissues-combined.edgelist.gz,,0,,
110,BioSNAP,BioSNAP Datasets: Stanford Biomedical Network Dataset Collection,"Networks and relationships/protein, protein, tissue",PPT-Ohmnet/Tissue-specific protein-protein interaction network,http://snap.stanford.edu/biodata/datasets/10013/files/PPT-Ohmnet_tissues-data.txt.gz,defaut,TXT,PPT-Ohmnet_tissues-data.txt.gz,,0,,
111,BioSNAP,BioSNAP Datasets: Stanford Biomedical Network Dataset Collection,"Networks and relationships/species, species",SS-Butterfly/Butterfly similarity network,http://snap.stanford.edu/biodata/datasets/10029/files/SS-Butterfly_labels.tsv.gz,defaut,TSV,SS-Butterfly_labels.tsv.gz,,0,,
112,BioSNAP,BioSNAP Datasets: Stanford Biomedical Network Dataset Collection,"Networks and relationships/species, species",SS-Butterfly/Butterfly similarity network,http://snap.stanford.edu/biodata/datasets/10029/files/SS-Butterfly_weights.tsv.gz,defaut,TSV,SS-Butterfly_weights.tsv.gz,,0,,
113,BioSNAP,BioSNAP Datasets: Stanford Biomedical Network Dataset Collection,"Networks and relationships/tissue, function, gene",TFG-Ohmnet/Tissue-specific protein-function associations,http://snap.stanford.edu/biodata/datasets/10014/files/TFG-Ohmnet_tissue-function-gene.tsv.gz,defaut,TSV,TFG-Ohmnet_tissue-function-gene.tsv.gz,,0,,
114,BioSNAP,BioSNAP Datasets: Stanford Biomedical Network Dataset Collection,Entities and feature tables,D-DoMiner/Disease descriptions and synonyms,http://snap.stanford.edu/biodata/datasets/10021/files/D-DoMiner_miner-diseaseDOID.tsv.gz,defaut,TSV,D-DoMiner_miner-diseaseDOID.tsv.gz,,0,,
